player_name,fantasy_score,player_team,venue,batting_first_team,bowling_first_team
AL Menaria,0,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
Bipul Sharma,20,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
P Kumar,12,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
JP Faulkner,85,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
AM Nayar,8,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
BJ Hodge,24,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
OA Shah,14,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
SE Marsh,8,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
DJ Hussey,14,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
PP Chawla,43,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
A Singh,58,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
M Morkel,60,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
M Muralitharan,83,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
MA Agarwal,27,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
"DAJ Bracewell, GJ Maxwell",14,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
AB de Villiers,70,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
